E, G
0.3985,-0.0510938
0.399,-0.0510938
0.3995,-0.0510938
0.4,-0.0510938
0.4005,-0.0510938
0.401,-0.0510938
0.4015,-0.0510938
0.402,-0.0510938
0.4025,-0.0510938
0.403,-0.0510938
0.4035,-0.0510937
0.404,-0.0510937
0.4045,-0.0510937
0.405,-0.0510937
0.4055,-0.0510937
0.406,-0.0510937
0.4065,-0.0510937
0.407,-0.0510937
0.4075,-0.0510937
0.408,-0.0510937
0.4085,-0.0510937
0.409,-0.0510937
0.4095,-0.0510937
0.41,-0.0510936
0.4105,-0.0510936
0.411,-0.0510936
0.4115,-0.0510936
0.412,-0.0510936
0.4125,-0.0510936
0.413,-0.0510936
0.4135,-0.0510936
0.414,-0.0510936
0.4145,-0.0510936
0.415,-0.0510936
0.4155,-0.0510936
0.416,-0.0510936
0.4165,-0.0510936
0.417,-0.0510935
0.4175,-0.0510935
0.418,-0.0510935
0.4185,-0.0510935
0.419,-0.0510935
0.4195,-0.0510935
0.42,-0.0510935
0.4205,-0.0510935
0.421,-0.0510935
0.4215,-0.0510935
0.422,-0.0510935
0.4225,-0.0510935
0.423,-0.0510935
0.4235,-0.0510934
0.424,-0.0510934
0.4245,-0.0510934
0.425,-0.0510934
0.4255,-0.0510934
0.426,-0.0510934
0.4265,-0.0510934
0.427,-0.0510934
0.4275,-0.0510934
0.428,-0.0510934
0.4285,-0.0510934
0.429,-0.0510934
0.4295,-0.0510934
0.43,-0.0510934
0.4305,-0.0510933
0.431,-0.0510933
0.4315,-0.0510933
0.432,-0.0510933
0.4325,-0.0510933
0.433,-0.0510933
0.4335,-0.0510933
0.434,-0.0510933
0.4345,-0.0510933
0.435,-0.0510933
0.4355,-0.0510933
0.436,-0.0510933
0.4365,-0.0510933
0.437,-0.0510932
0.4375,-0.0510932
0.438,-0.0510932
0.4385,-0.0510932
0.439,-0.0510932
0.4395,-0.0510932
0.44,-0.0510932
0.4405,-0.0510932
0.441,-0.0510932
0.4415,-0.0510932
0.442,-0.0510932
0.4425,-0.0510932
0.443,-0.0510932
0.4435,-0.0510932
0.444,-0.0510931
0.4445,-0.0510931
0.445,-0.0510931
0.4455,-0.0510931
0.446,-0.0510931
0.4465,-0.0510931
0.447,-0.0510931
0.4475,-0.0510931
0.448,-0.0510931
0.4485,-0.0510931
0.449,-0.0510931
0.4495,-0.0510931
0.45,-0.0510931
0.4505,-0.0510931
0.451,-0.051093
0.4515,-0.051093
0.452,-0.051093
0.4525,-0.051093
0.453,-0.051093
0.4535,-0.051093
0.454,-0.051093
0.4545,-0.051093
0.455,-0.051093
0.4555,-0.051093
0.456,-0.051093
0.4565,-0.051093
0.457,-0.051093
0.4575,-0.0510929
0.458,-0.0510929
0.4585,-0.0510929
0.459,-0.0510929
0.4595,-0.0510929
0.46,-0.0510929
0.4605,-0.0510929
0.461,-0.0510929
0.4615,-0.0510929
0.462,-0.0510929
0.4625,-0.0510929
0.463,-0.0510929
0.4635,-0.0510929
0.464,-0.0510929
0.4645,-0.0510928
0.465,-0.0510928
0.4655,-0.0510928
0.466,-0.0510928
0.4665,-0.0510928
0.467,-0.0510928
0.4675,-0.0510928
0.468,-0.0510928
